record_id,record_revision,record_date,record_title,record_amount_pence,record_status,line_id,line_position,line_name,line_quantity,line_allocation_pence,line_detail,copy_count,copy_allocation_pence_sum
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-1a33db90-3700-495d-9089-cb91415b2b8e,54,Monster Reborn,1,20,YGLD-ENC24 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-f6d119b2-6acb-4624-b464-93d1587b7b89,55,The Eye of Truth,1,20,YGLD-ENA39 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-a26db550-96a8-4200-9d53-479718c3c6b6,56,Lightforce Sword,1,20,YGLD-ENB37 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-3008e56b-c578-4f70-afdf-7cad0d416b7d,57,Chain Destruction,1,20,YGLD-ENB38 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-abe5389c-5955-457d-8bb5-eab85e2537d4,58,Soul Rope,1,20,YGLD-ENB39 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-708dce3a-f785-4a77-ad94-dc739d739ef2,59,Stronghold the Moving Fortress,1,20,YGLD-ENC39 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-1f1048c9-ee2e-4e41-8111-1db058d73439,60,Shift,1,20,YGLD-ENA40 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-37a5c73e-b4b7-4e02-b710-b007c47c0d72,61,Shattered Axe,1,20,YGLD-ENC38 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-487e8646-4be4-48f2-871e-36867a0edc35,62,Tragedy,1,20,YGLD-ENB40 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-56d8f9cf-9edb-4964-b0cc-4a7ba582b111,63,Miracle Restoring,1,20,YGLD-ENC40 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-3dec2746-95d3-48a5-a981-c208e053343d,64,Spellbinding Circle,1,20,YGLD-ENB36 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-8bcd5c6d-2b93-4c9f-8fd2-a2d89a6360a4,65,Magician's Circle,1,20,YGLD-ENC37 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-a5ed6586-8e60-4b35-b574-42d0e0f1f3b9,66,Magic Cylinder,1,20,YGLD-ENB35 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-fa0e3f49-46a4-4805-8858-10ad51c2a610,67,Mirror Force,2,40,YGLD-ENA37 · 1st Edition · from Bulk lot · 130 card types,2,40
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-28cd9006-03fe-4ca7-b0b5-4aca858e57c4,68,Magical Hats,2,40,YGLD-ENB34 · 1st Edition · from Bulk lot · 130 card types,2,40
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-a6e00850-4f9d-4150-bef3-6389af3c16f3,69,Skilled White Magician,2,40,YGLD-ENC20 · 1st Edition · from Bulk lot · 130 card types,2,40
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-b1edcd38-3616-4b25-b305-a10e2bec5009,70,Skilled Dark Magician,3,60,YGLD-ENC19 · 1st Edition · from Bulk lot · 130 card types,3,60
