record_id,record_revision,record_date,record_title,record_status,record_amount_pence,line_id,line_position,card_name,line_quantity,line_allocation_pence,line_detail,copy_id,allocation_index,copy_allocation_pence,copy_condition,copy_status,copy_location,printing_set_name,printing_set_code,printing_tcgplayer_url,target_name,target_rarity,target_edition,copy_created_at,copy_updated_at
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-16b9d9d7-e49d-40aa-8eb7-94997576d2c6,30,Dedication through Light and Darkness,1,20,YGLD-ENC31 · 1st Edition · from Bulk lot · 130 card types,copy-6bd45d57-9e6d-42dd-933d-3d15330a0bf9,31,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENC31,https://www.tcgplayer.com/product/108315/yugioh-king-of-games-yugis-legendary-decks-dedication-through-light-and-darkness?Language=English&page=1,Dedication through Light and Darkness,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-e18f387c-ecdc-4b86-a114-27a111ee4c0f,31,Spell Shattering Arrow,1,20,YGLD-ENA28 · 1st Edition · from Bulk lot · 130 card types,copy-85c296f3-1306-40ce-86b6-58c6ec3e3744,32,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA28,https://www.tcgplayer.com/product/108230/yugioh-king-of-games-yugis-legendary-decks-spell-shattering-arrow?Language=English&page=1,Spell Shattering Arrow,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-022e6c59-6853-4491-ae98-8a5752668e39,32,Pot of Greed,1,20,YGLD-ENB26 · 1st Edition · from Bulk lot · 130 card types,copy-f23f7281-2277-4f3e-a373-c6fe7a9d6768,33,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB26,https://www.tcgplayer.com/product/108269/yugioh-king-of-games-yugis-legendary-decks-pot-of-greed?Language=English&page=1,Pot of Greed,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-c08195bb-52ee-44e3-85bd-355029b030a2,33,Multiply,1,20,YGLD-ENB32 · 1st Edition · from Bulk lot · 130 card types,copy-b2b22752-21f9-40e9-af3a-a523780e58f7,34,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB32,https://www.tcgplayer.com/product/108275/yugioh-king-of-games-yugis-legendary-decks-multiply-b?Language=English&page=1,Multiply,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-272f92cd-e30b-4c4a-9655-a524ef3269b7,34,Multiply,1,20,YGLD-ENA32 · 1st Edition · from Bulk lot · 130 card types,copy-b21c3b96-aac2-43d9-8b57-7c2af080a505,35,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA32,https://www.tcgplayer.com/product/108234/yugioh-king-of-games-yugis-legendary-decks-multiply-a?Language=English&page=1,Multiply,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-508e50e6-8efd-4256-b1a4-49bd64c340f2,35,Swords of Revealing Light,1,20,YGLD-ENA24 · 1st Edition · from Bulk lot · 130 card types,copy-09b38ffe-1479-4c01-ae71-758b2720d999,36,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA24,https://www.tcgplayer.com/product/108226/yugioh-king-of-games-yugis-legendary-decks-swords-of-revealing-light-a?Language=English&page=1,Swords of Revealing Light,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-92ce30ba-0d11-4705-b001-7213f5018832,36,Swords of Revealing Light,1,20,YGLD-ENC25 · 1st Edition · from Bulk lot · 130 card types,copy-a2f093fc-dc4f-4c25-b597-897334ae1c7f,37,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENC25,https://www.tcgplayer.com/product/108309/yugioh-king-of-games-yugis-legendary-decks-swords-of-revealing-light-c?Language=English&page=1,Swords of Revealing Light,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-08858449-2245-47e8-b0e8-4f1a38ee15b7,37,Dark Magician,1,20,YGLD-ENA03 · 1st Edition · from Bulk lot · 130 card types,copy-e1d22dc1-8f9d-4f83-96c6-1bf82a9b0848,38,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA03,https://www.tcgplayer.com/product/108205/yugioh-king-of-games-yugis-legendary-decks-dark-magician-a?Language=English&page=1,Dark Magician,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-49e66fe6-4644-4d43-9d42-9cd7e9be69a0,38,Gaia the Dragon Champion,1,20,YGLD-ENA41 · 1st Edition · from Bulk lot · 130 card types,copy-3f0cbf2f-b72d-4008-bcbf-94de40442a63,39,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA41,https://www.tcgplayer.com/product/108243/yugioh-king-of-games-yugis-legendary-decks-gaia-the-dragon-champion?Language=English&page=1,Gaia the Dragon Champion,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-58c8a581-a337-415c-8d85-9863f4635cbb,39,Chimera the Flying Mythical Beast,1,20,YGLD-ENB41 · 1st Edition · from Bulk lot · 130 card types,copy-426cbf32-f520-4c8a-ae3a-1dcd1ce40182,40,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB41,https://www.tcgplayer.com/product/108284/yugioh-king-of-games-yugis-legendary-decks-chimera-the-flying-mythical-beast?Language=English&page=1,Chimera the Flying Mythical Beast,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-672b59de-4ae4-4c21-99aa-24eb5ad9dc42,40,Monster Reborn,1,20,YGLD-ENB16 · 1st Edition · from Bulk lot · 130 card types,copy-20309a2f-b85c-4c8b-b972-a68984ae6ddd,41,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB16,https://www.tcgplayer.com/product/108259/yugioh-king-of-games-yugis-legendary-decks-monster-reborn-b?Language=English&page=1,Monster Reborn,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-72d18c69-b88b-45bb-a8b6-f4c1da4e2c97,41,Polymerization,1,20,YGLD-ENB30 · 1st Edition · from Bulk lot · 130 card types,copy-c6ee6b8b-9476-463a-917f-0217d2e74a3a,42,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB30,https://www.tcgplayer.com/product/108273/yugioh-king-of-games-yugis-legendary-decks-polymerization-b?Language=English&page=1,Polymerization,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-5d5fe108-ce77-49b2-b2d3-faef792328ed,42,Polymerization,1,20,YGLD-ENA35 · 1st Edition · from Bulk lot · 130 card types,copy-dcf5e21e-0b7b-482d-a141-1cf80192ebde,43,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENA35,https://www.tcgplayer.com/product/108237/yugioh-king-of-games-yugis-legendary-decks-polymerization-a?Language=English&page=1,Polymerization,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
